pos/0,pos/1,neg/0,neg/1,neu/0,neu/1
pmust,8,trumpagree,8,rusrussian,6
holidaypresident,8,met,8,book,6
backing,8,white,8,accountmen,6
resolve,8,oust,8,saving,6
broker,8,lt,8,fairly,6
refusal,8,area,8,tried,6
bpresident,8,nobody,8,boy,6
besides,8,likely,8,national,6
pocketing,8,tragedy,8,please,6
thug,8,highland,8,jkt4810thannputting,6
ombudsman,8,park,8,deep,6
linked,8,23feb2022,8,whether,6
committee,8,invades,8,tour,6
bapresident,8,suckered,8,4president,6
anythindirector,8,withheld,8,lysychanskworld,6
serious,8,excellent,8,govt,6
murica,8,smerch,8,wukrainian,6
older,8,uragan,8,open,6
adult,8,grad,8,answering,6
subscription,8,kievan,8,zelenskyyalbo,6
entertainzelenskyy,8,taskformer,8,symbolic,6
shadepresident,8,illegally,8,fat,6
actual,8,blackmail,8,choose,6
cpresident,8,mccarthy,8,azovnazis,6
territoryzelenskyy,8,battlefield131dayofwar,8,lecture,6
zelenskyyrussian,8,race,8,proposal,6
ranginpresident,8,upcoming,8,msm,6
showeddirector,8,emanating,8,republitoday,6
whipresident,8,zelenskyyukrainian,8,shot,6
moviecare,8,battlefieldrussian,8,wbreaking,6
hunger,8,lostvolodymyr,8,netflix,6
donation,8,commrussia,8,taxpayer,6
imho,8,united,8,mil,6
suited,8,pledged,8,opposite,5
gathering,8,tacwhitehouse,8,parpart,5
shmust,8,tacget,8,continual,5
especially,8,snake,8,lho,5
shall,8,ta,8,berita,5
remembered,8,fmedium,8,asli,5
doggedness,8,hopefully,8,sanggahan,5
goal,8,thanother,8,ukraina,5
cnbc,8,johnsonzelenskyy,8,atas,5
sovereigmust,8,actualanother,8,ngibulnya,5
thzelenskyy,8,glass,8,discusworld,5
territoryproud,8,river,8,spend,5
luhanskcute,8,convince,8,offered,5
whatsapp,8,tape,8,89,5
0718689794,8,picking,8,withdraw,5
0112253094,8,bragging,8,old,5
checkpoint,8,firing,8,ordercalling,5
plaza,8,unsc,8,fund,5
utawala,8,ignored,8,hooker,5
kidding,8,representativeukrainian,8,johnsonout162current,5
azovbattalions,8,commonanother,8,towards,5
convincing,8,battlefieldporoshenko,8,ban,5
sportrussian,8,wearing,8,party,5
degreeloss,8,ranother,8,jail,5
ukraineloss,8,20volodymyr,8,confread,5
fully,8,seedy,8,politics,5
landrussian,8,shady,8,fully,5
bamust,8,hub,8,zelenskyneed,5
martinezmust,8,illicit,8,effortrussia,5
antonymufc,8,sale,8,fancy,5
ruto,8,activity,8,catching,5
witnessed,8,ranging,8,headline,5
saidcustomize,8,200,8,grabbing,5
governmentmust,8,banmoney,8,evening,5
espnrussia,8,expensive,8,wanother,5
sooukraine,8,impossible,8,march,5
zelenskyyandrew,8,zelenskyyporoshenko,8,follows,5
capital,8,ukrainerussiamedium,8,ivanchak,5
rowling,8,track,8,record,5
point,7,mcgovern,8,holder,5
servant,7,question,8,rubik,5
corruption,7,zelenskyymoney,8,family,5
sir,7,lysychansrussia,8,large,5
zone,7,themseanother,8,final,5
exactly,7,taskmoney,8,pal,5
keeping,7,giving,8,sense,5
behind,7,yanukovychanother,8,coup,5
half,7,taskconsidering,8,mondtoday,5
tweeting,7,gather,8,ukrainianarmy,5
tell,7,goober,8,train,5
zelenskyukraine,7,radio,8,wb,5
fan,7,armedium,8,detailrussia,5
rwanda,7,blockade,8,near,5
champion,7,lostmoney,8,zelenskyyprime,5
accepted,7,dayanother,8,perhaps,5
importantly,7,anthony,8,cknow,5
movie,7,confirmed,8,dimen,5
ben,7,29,8,downing,5
stiller,7,identified,8,moneyjohnson,5
emmaukraine,7,chinwendu,8,yetknow,5
comic,7,umegbaka,8,feel,5
administration,7,10x,8,roll,5
exemplary,7,20x,8,sofabed,5
gon,7,translates,8,company,5
na,7,dirty,8,heed,5
light,7,sentswedish,8,plea,5
institution,7,branson,8,thoughtpresident,5
emmaheard,7,zeletricky,7,thvolodymyr,5
guard,7,placed,7,thoughtprime,5
mariupol,7,opportunity,7,requested,5
urged,7,step,7,returnukrainian,5
community,7,forgottenluhansk,7,pay,5
quickly,7,largely,7,ever,5
power,7,vowed,7,stand,5
leaukraine,7,ally,7,returnrussian,5
victoria,7,dont,7,pledged,5
nuland,7,memorial,7,thug,5
dont,7,saurmogila,7,thousand,5
partyzelensky,7,wet,7,route,5
marketmany,7,christ,7,jewish,5
sanction,7,deflect,7,understand,5
horrified,7,air,7,move,5
klaus,7,failing,7,uhuru,5
schwab,7,issue,7,william,5
map,7,indeed,7,jubilee,5
cause,7,forgottenprez,7,meant,5
sportsman,7,disintegration,7,joke,5
tune,7,plus,7,recapture,5
celebration,7,roe,7,lost,5
hollywood,7,vzelensky,7,bidens,5
bold,7,wtf,7,presence,5
ahead,7,laundering,7,ethnically,5
coordination,7,httpukraine,7,different,5
supportukraine,7,mainstream,7,translation,5
interviewed,7,ready,7,present,5
director,7,wild,7,nuanced,5
david,7,girl,7,possession,5
journalmany,7,kremenchuk,7,zelenskyytoday,5
poland,7,anymore,7,igor,5
kangaroobest,7,murderer,7,battalionzelensky,5
tg,7,bit,7,verkhovna,5
report,7,paul,7,rada,5
enjoy1,7,torturing,7,general,5
journalpatch,7,write,7,4today,5
kangarooloss,7,rant,7,familyzelensky,5
bmany,7,able,7,tursaya,5
least,7,stated,7,wvideo,5
striking,7,job,7,yearknow,5
volodymyrzelensky,7,bank,7,nbc,5
featured,7,countryukraine,7,propagandist,5
soomany,7,oligarch,7,gaslight,5
taxpayer,7,klaus,7,viewer,5
expense,7,estimate,7,interview,5
56,7,trial,7,durinzelensky,5
confirmed,7,kononovich,7,lysychanskzelenskyy,5
learn,7,prosecutes,7,updateukraine,5
assistance,7,communistzelensky,7,deluded,5
defending,7,mansion,7,c0vld,5
democratic,7,cry,7,gaffe,5
kangaroou,7,joke,7,foreigner,5
advance,7,handling,7,montzelensky,5
superior,7,rswedish,7,decide,5
everybody,7,moneylaundering,7,4long,5
introducing,7,theatre,7,viatoday,5
ukraineansweringthecall,7,local,7,ordercurrent,4
desire,7,valuable,7,15,4
remained,7,yeah,7,euro,4
ulyanov,7,holocaust,7,reform,4
gas,7,possible,7,september,4
mulukraine,7,sometimes,7,belief,4
russiamorning,7,sake,7,burn,4
peoplemorning,7,dirt,7,johnsonout162zelensky,4
opportunityunited,7,provoke,7,fridge,4
statemorning,7,turning,7,operator,4
competingmust,7,advantage,7,childpm,4
tyrant,7,chief,7,petition,4
armed,7,choose,7,include,4
israeli,7,ethnic,7,subject,4
cool,7,laugh,7,sky,4
zelenskyylove,7,fantasy,7,phoneworld,4
event,7,ask,7,confdpr,4
scomo,7,perth,7,fseparatist,4
degreewell,7,studio,7,expensitoday,4
596,7,jomust,7,change,4
lifestyle,7,r,7,charge,4
opportunityputin,7,south,7,zelenskysee,4
building,7,twice,7,johnsonout162lo,4
degreegod,7,train,7,wnew,4
russiapresident,7,facility,7,gotham,4
move,7,jothink,7,bat,4
landmust,7,vlad,7,help,4
nairalandzelenskyy,7,wrussia,7,bloviator,4
type,7,jodaily,7,highly,4
cayman,7,weariness,7,phonecurrent,4
planning,7,adviser,7,orderjohnson,4
zelenskyyproud,7,weaponrytiktok,7,either,4
employed,7,born,7,g,4
29,7,tieukraine,7,strategyzelensky,4
authoritarian,7,secret,7,stalkerpoint,4
saidrussian,7,dickzelensky,7,twitter,4
moviemust,7,weaponrythank,7,babycalling,4
exmust,7,market,7,released,4
sportsnews,7,former,7,ratejohnson,4
ascent,7,kevin,7,ladmagic,4
admired,7,rudd,7,eichert,4
destruukraine,7,advisory,7,aide,4
cornerstone,7,group,7,side,4
approach,7,ukraineukraine,7,advise,4
regimemany,6,audit,7,showing,4
recently,6,accountability,7,correct,4
kangaroolatest,6,spent,7,let,4
non,6,emotional,7,respond,4
currently,6,released,7,wvictory,4
trouble,6,silent,7,camperdownpm,4
sovereign,6,detained,7,instruction,4
hit,6,commvolodymyr,7,crony,4
male,6,tacformer,7,frontltoday,4
spot,6,20whitehouse,7,arriving,4
trillion,6,green,7,zelenskyastrological,4
multi,6,discussed,7,astroexpect,4
largest,6,status,7,0710927262perhaps,4
laugh,6,claimed,7,named,4
brought,6,putinzelenskyy,7,dnipro,4
hello,6,addressed,7,neartoday,4
mug,6,empire,7,yearwheresalbo,4
popularity,6,madness,7,seeing,4
apparently,6,donbasswar,7,pastexpect,4
hi,6,sniper,7,zelenskywef,4
hill,6,operational,7,fast,4
reminder,6,moment,7,trackingag30,4
listen,6,worst,7,car,4
whenever,6,minute,7,teamgo,4
stress,6,battlefieldcom,7,vaccinate,4
trade,6,donets,7,zelenskyabbott,4
absolute,6,clearing,7,groped,4
beg,6,marshall,7,collectedpresident,4
2021,6,30,7,requiexpect,4
story,6,effect,7,postexpect,4
stalked,6,advantmoney,7,letexpect,4
johnsonzelensky,6,attention,7,zelenskymr,4
shared,6,squandered,7,zelenskysvizzera,4
wise,6,putinanother,7,corrieretoday,4
churchill,6,battlefieldputin,7,wmaybe,4
viktor,6,lysychansukraine,7,pmexpect,4
health,6,russiaanother,7,signalso,4
fed,6,russiarussia,7,zelenskytweet,4
kangarookrudd,6,rebuilding,7,quoted,4
kangarooone,6,commmoney,7,expresspro,4
bastardism,6,zelenskyygodspeed,7,prior,4
cia,6,amplified,7,reign,4
globalist,6,countless,7,0710927262expect,4
lbc,6,advantageous,7,wsix,4
negotiated,6,overall,7,hmm,4
kangarooeven,6,uswedish,7,depp,4
concentratioukrainian,6,joukrainian,7,cruise,4
succeeding,6,fuckihahaha,6,pitt,4
advancement,6,admit,6,jackman,4
concentratioheard,6,zelesurprising,6,movietoday,4
supposedly,6,8,6,countryexpect,4
russiapatch,6,belief,6,zelenskyplanned,4
kangarooweapon,6,bankrupt,6,theatre,4
package,6,weaponrysurprising,6,exact,4
cocaine,6,patience,6,counexpect,4
partyukraine,6,barry,6,feted,4
bank,6,willing,6,addressing,4
betterzelensky,6,pissed,6,europewest,4
poo,6,corruption,6,4talked,4
announcing,6,pull,6,signrussia,4
750bn,6,michael,6,signexpect,4
express,6,felt,6,metaphorically,4
came,6,praising,6,knee,4
comfort,6,fzelensky,6,borisjohnson,4
multiple,6,ammunition,6,mucpm,4
stated,6,caltricky,6,wofficial,4
educated,6,civil,6,allied,4
entertainer,6,better,6,sefilm,4
arestovich,6,fancy,6,rusexpect,4
sunny,6,none,6,zelenskydad,4
isle,6,forward,6,zelenskyimbecility,4
strike,6,avivleader,6,shown,4
powerful,6,correct,6,threeexpect,4
bannerputin,6,direct,6,wanyone,4
battalion,6,zelenskyyet,6,noticed,4
among,6,strategically,6,epstein,4
easier,6,skynews,6,manifest,4
hilarious,6,mired,6,mirror,4
kangarooaustralian,6,piss,6,ukramany,4
2020,6,imminent,6,dillvolodymyr,4
lisa,6,permitted,6,emphasising,4
murkowski,6,zelenskypresident,6,especially,4
saw,6,special,6,educatiobennett,4
loses,6,govt,6,updated,4
ahmatpatch,6,extreme,6,concluding,4
pea,6,calhahaha,6,rusukrainian,4
pod,6,everytime,6,wilastrological,4
host,6,returned,6,wastrological,4
shield,6,card,6,astrovolodymyr,4
body,6,finding,6,russiabehind,4
language,6,realise,6,animbehind,4
slava,6,two,6,animvolodymyr,4
carry,6,worried,6,ruszelensky,4
raab,6,zelenskyanother,6,republibehind,4
seasoned,6,depravity,6,animsvizzera,4
l22,6,deliberate,6,corrierevolodymyr,4
unwavering,6,invaded,6,wchildlish,4
solidarity,6,po,6,sayreconstruction,4
liz,6,jopresident,6,frontlrussia,4
zelenskyyukraine,6,actual,6,latestchildlish,4
defence,6,lawrow,6,russiadpr,4
gen,6,extract,6,battlezelensky,4
milineal,6,declaring,6,yearunderstand,4
semangatteambmalaysia,6,cukraine,6,transliterationenough,4
semangatteambgaji,6,crazy,6,countryvolodymyr,4
gettingdear,6,hear,6,russiapresident,4
degreegermany,6,2leader,6,battletoday,4
bloggerman,6,spyleader,6,wsvizzera,4
mulzelenskyy,6,fightleader,6,cozelensky,4
russiagreeting,6,zelleader,6,greece,4
attempt,6,organising,6,round,4
grant,6,greta,6,athens,4
canadian,6,warleader,6,emphrussia,4
fourth,6,warnsleader,6,signdpr,4
eat,6,julyrich,6,whandy,4
flesh,6,peacetalks,6,sensedpr,4
nairalandmust,6,territorleader,6,zelenskywaaaay,4
missile,6,forgottenbiden,6,august,4
cut,6,forgottenpower,6,muchpoole,4
pandemic,6,janeleader,6,thpresidente,4
truest,6,wallzelensky,6,presideimbecility,4
wilderness,6,wallleader,6,sh750,4
appreciate,6,australialeader,6,worldlong,4
blogpresident,6,australiaukraine,6,turpresident,4
mul22,6,hunterleader,6,wreconstruction,4
dems,6,tomorrow,6,wcnn,4
joined,6,rock,6,according,4
89,6,cake,6,upresident,4
inspired,6,demandedzelensky,6,camperdownukraine,4
bravery,6,irritation,6,countryukraine,4
selfies,6,noticed,6,electedukrainian,4
thizelenskyy,6,habermas,6,wilhmm,4
crimea,6,low,6,dunno,4
gthank,6,refugee,6,wtalked,4
fled,6,major,6,wpenn,4
completely,6,greatest,6,vist,4
zelenskyyplesse,6,rag,6,fukrainian,4
k,6,determined,6,mostate,4
defeat,6,jowar,6,dictator,4
tenacity,6,wallukraine,6,insufficient,4
doesnt,6,documentary,6,manpower,4
code,6,zelebsky,6,parwould,4
profiteering,6,forcing,6,zelenskanother,4
warren,6,rocketswedish,6,shell,4
buffett,6,late,6,flew,4
visited,6,size,6,residential,4
mission,6,risk,6,natopresident,4
encouraged,6,field,6,yo,4
katyn,6,weaponryalbo,6,resistzelensky,4
losspatch,6,across,6,signu,4
gt,6,suffered,6,velkom,4
chief,6,stiller,6,attain,4
organization,6,delusional,6,centre,4
compete,6,gear,6,wimbledon,4
brings,6,loom,6,mite,4
total,6,duran,6,evalbanese,4
390,6,purpose,6,zelenskypres,4
rumored,6,aggressive,6,financed,4
swiss,6,depriving,6,paid,4
affiliated,6,wheat,6,uukraine,4
banneraustralian,6,implicated,6,rebuildzelensky,4
smile,6,contradictory,6,lisichanskjohnson,4
millionukraine,6,countryrussia,6,standwithukwait,4
feb,6,elit,6,workforce,4
high,6,mosad,6,cuddlyraytheon,4
georgia,6,intel,6,lockheedmartin,4
tbilisi,6,apartheidisrael,6,slice,4
granted,6,color,6,bos,4
candidate,6,obvious,6,kolomoysky,4
status,6,750bn,6,panamatactic,4
btw,6,counter,6,donetoday,4
wat,6,amount,6,yearnone,4
tat,6,hollywood,6,maidan,4
pope,6,warzelenskyy,6,impwarcriminal,4
inviting,6,warrussia,6,viaenough,4
dignity,6,liberated,6,pukrainian,4
hardly,6,fella,6,nationalist,4
coordinatormust,6,stunt,6,doctor,4
stockholm,6,fear,6,dprmr,4
syndrome,6,begin,6,fupdate,4
voicemany,6,blogwar,6,turning,4
dictator,6,twat,6,widow,4
connect,6,blogukraine,6,orphan,4
till,5,untrained,6,maid,4
contract,5,offer,6,europeanindeed,4
honestly,5,ukranian,6,pushover,4
thinking,5,sheeple,6,convos,4
ranking,5,smartnews,6,overrun,4
economic,5,vladimir,6,warees,4
overcome,5,blogbig,6,mogg,4
guess,5,crook,6,race,4
appreciation,5,cyber,6,aka,4
ops,5,future,6,whshow,4
card,5,mariupol,6,producer,4
praising,5,stolen,6,anddddzelensky,4
hide,5,business,6,israelrussia,4
considering,5,anger,6,yearthnks,4
f,5,conversation,6,type,4
sex,5,prison,6,presimr,4
buying,5,insider,6,ukrainerussia26,4
bj,5,nia,6,sezelensky,4
lose,5,register,6,yearkondori,4
twitter,5,fir,6,conflit,4
per,5,umesh,6,russo,4
kangarookadyrov,5,kolhe,6,ukrainien,4
bob,5,ukrarussian,6,bienvenue,4
received,5,co,6,sur,4
little,5,others,6,mardi,4
moment,5,nationaanother,6,05,4
treating,5,ukrainerussiawar,6,afptoday,4
hey,5,obligation,6,faustralia,4
reached,5,op,6,durintoday,4
peskov,5,seem,6,confukraine,4
jinping,5,bzelensky,6,standwithukzelenskyukraine,4
valid,5,jokadyrov,6,rebzelensky,4
change,5,signing,6,fjewish,4
bigger,5,de,6,chosen,4
beyond,5,facto,6,threshold,4
750b,5,neocon,6,electiotoday,4
ratepatch,5,53,6,usazelensky,4
kangaroofunny,5,spiral,6,wthinking,4
orban,5,catalogue,6,poop,4
hungarian,5,chernobyl,6,zelzelensky,4
straight,5,jokissinger,6,econroundtablegr,4
supreme,5,julylass,6,athenspresident,4
difficult,5,territorzelensky,6,yepresident,4
rzelensky,5,bear,6,yearcourse,4
peacezelensky,5,tilt,6,cannon,4
bothered,5,eyeing,6,fodder,4
seeing,5,forfeiture,6,unless,4
head,5,swell,6,counzelensky,4
ahmatelder,5,visitsurprising,5,confobama,4
moving,5,fuckiboris,5,presidentzelensky,4
lady,5,unwinnable,5,camperdownguy,4
running,5,cpoor,5,rusi,4
personal,5,julyboris,5,smoking,4
standup,5,idea,5,zelenskyphoto,4
authority,5,cat,5,camperdowngoing,4
built,5,collapsed,5,millionaire,4
reimagining,5,zelenskyconfused,5,opzelensky,4
classic,5,pick,5,cmr,4
tale,5,kissinger,5,standwithuksooner,4
mephistopheles,5,nope,5,catch,4
runic,5,negotiated,5,witplace,4
fore,5,zelezelensky,5,detailmr,4
sell,5,forgottenaccording,5,arestovichukraine,4
soounited,5,buy,5,wlondon,4
thpatch,5,yesterday,5,relation,4
negotiating,5,globalist,5,progressing,4
citizenship,5,grifter,5,whtoday,4
kangarooelder,5,crooked,5,reminded,4
sooaddressing,5,increasingly,5,yearrussian,4
throughout,5,named,5,arestovichwest,4
provide,5,dateleader,5,confpresidente,4
hat,5,costoflivingcrisis,5,presidepresident,4
finding,5,knew,5,confwould,4
historymust,5,roll,5,fowould,4
obvious,5,continuing,5,israelthinking,4
rest,5,especially,5,svf630,4
fucksticks,5,busy,5,flightradar24today,4
genuflecting,5,different,5,zelenskyconsequence,4
lazelenskyy,5,combat,5,zelenplace,4
capable,5,involved,5,detailr,4
priority,5,agree,5,wimo,4
risk,5,outsmart,5,presidentworld,4
pleased,5,population,5,expensidpr,4
fzelenskyy,5,decides,5,camperdownreally,4
flood,5,usual,5,iran,4
cukraine,5,httpleader,5,sympathize,4
mentioned,5,forgottengoing,5,jewzelensky,4
fucking,5,disgraceful,5,unlawful,4
millionzelenskyy,5,attacking,5,annexation,4
16,5,play,5,zelentime,4
produced,5,becoming,5,volodymplace,4
rmust,5,avoiding,5,hooked,4
gettingwide,5,zelenskyukrainian,5,masterdpr,4
anywhere,5,grow,5,wfischer,4
coordinamust,5,stuff,5,kremlin,4
fear,5,arrange,5,peoplevictory,4
integrity,5,zelenskyrussian,5,yrzelensky,4
pray,5,denyleader,5,yearreconstruction,4
lpr,5,nature,5,luganotoday,4
name,5,natoukraine,5,wfemale,4
lab,5,advocate,5,brigade,4
zelenskyyrussia,5,false,5,eitherzelensky,4
sunday,5,meanwhile,5,yeardisagree,4
lossaustralian,5,defeated,5,unilaterally,4
representative,5,type,5,cut,4
uzelensky,5,headline,5,neetoday,4
c,5,weaponrykissinger,5,claiming,4
alessandro,5,rule,5,thizelensky,4
exact,5,06pm,5,expensirussia,4
destiny,5,grand,5,sacrificing,4
siege,5,whzelensky,5,peoplebet,4
transferred,5,mention,5,aftershaveworld,4
skill,5,jade,5,expensinews,4
lossmany,5,glad,5,afghanistan,4
lolmany,5,love,5,irazelensky,4
boy,5,scomo,5,zelenskyaddress,4
lossweapon,5,ukrazelensky,5,viaread,4
florida,5,beggar,5,liberatiorussia,4
russiaukraine,5,recognize,5,freckon,4
childweapon,5,light,5,dealing,4
degreewish,5,weaponrymust,5,findtoday,4
monster,5,hitler,5,spmr,4
moneymust,5,zelenskyupdate,5,watchdpr,4
degreeservant,5,jook,5,winter,4
undeterred,5,center,5,comingtoday,4
towards,5,insufficient,5,monthlythink,4
destruzelensky,5,manpower,5,protedpr,4
50,5,seized,5,max,4
enjoyukrainian,4,trumpswedish,5,sh1t,4
humor,4,julywar,5,licking,4
legislates,4,newszelensky,5,arsezelensky,4
enable,4,dangerous,5,liberaget,4
slav,4,stupid,5,decides,4
stupid,4,funny,5,cashpresident,4
public,4,smoke,5,camperdownzelenskytoday,4
due,4,400,5,wzelenskypresident,4
predictable,4,collaboration,5,dillzelensky,4
looking,4,enacted,5,rishpontoday,4
water,4,red,5,wabbott,4
presone,4,bloke,5,snorting,4
enjoyboris,4,exposed,5,batch,4
men,4,weekwhitehouse,5,copium,4
hundred,4,respect,5,rationaltoday,4
often,4,instead,5,rishponworld,4
approval,4,toll,5,expensisell,4
equipment,4,betraying,5,mansiontwo,4
arrived,4,gmb,5,legend,4
liberated,4,lewis,5,oneday,4
bozo,4,happened,5,wwife,4
worked,4,provoked,5,cashzelensky,4
creation,4,smartnewsvolodymyr,5,calways,4
designed,4,steal,5,hey,4
favour,4,feeling,5,muricccaa,4
excellent,4,2017money,5,aa,4
ego,4,digging,5,camperdown5,4
9,4,blinded,5,vzelensky,4
0,4,lysychanswhitehouse,5,lysichanskzelensky,4
pointzelensky,4,warmoney,5,detaildanke,4
no10,4,prosecutor,5,jessica,4
relation,4,222,5,scholz,4
tied,4,wmoney,5,slavaukraini,4
advice,4,blackberry,5,wcapitulation,4
immense,4,stenger,5,russiahappened,4
although,4,ukraineswedish,5,svopresident,4
infrastructure,4,parent,5,camperdownrussia,4
medical,4,dec,5,sophistictoday,4
bunch,4,proud,5,afghatoday,4
joking,4,joneed,5,20milugano,4
lesson,4,florida,5,leyentoday,4
face,4,zelenskychechnya,5,expensimass,4
entitled,4,forcerussia,5,jul,4
likepresident,4,leaderzelensky,5,32,4
etc,4,larussia,5,taltoday,4
pony,4,move,5,wreal,4
pretending,4,julypresident,5,russiaukrainpresident,4
plane,4,dismal,5,expensinanreal,4
ur,4,around,5,ukrainerussiawarworld,4
zelenskyunited,4,blow,5,messageworld,4
ukranauspol,4,zelenskyoverheard,4,expensipresidente,4
destruplease,4,wleader,4,camperdownalbanese,4
asapchinemerem,4,sticking,4,eplace,4
yelp,4,weaponryboris,4,detailpresident,4
haguemany,4,billiosurprising,4,lysychanskpresident,4
taxnato,4,claiming,4,camperdownsaya,4
massively,4,zelenskyevery,4,provindiscovering,4
border,4,favourite,4,fasaya,4
zelenshilarious,4,zelenskyu,4,messageputin,4
salivating,4,avoided,4,receives,4
reclaiming,4,fuckin,4,futuretoday,4
galicia,4,mini,4,monthlyhigh,4
lviv,4,tieevery,4,12pm,4
talkingheard,4,lexicon,4,johnsonbehind,4
depotyes,4,merrick,4,men,4
malcolm,4,dismantling,4,union,4
emmanuel,4,waiting,4,distract,4
comfmany,4,xi,4,patch,4
whose,4,impregnated,4,thoughtmen,4
sacrifice,4,truck,4,thoughtvolodymyr,4
deservmany,4,name,4,therapyvolodymyr,4
enjoyrussia,4,zelenskyfilm,4,therapypaging,4
zamerica,4,forgottenlong,4,start,4
heroarestovich,4,calzelensky,4,nearly,4
repeat,4,helicopter,4,shut,4
zelenskynever,4,forgottendowning,4,assumption,4
manmohzelensky,4,damaged,4,togeukraine,4
prohibit,4,cconfused,4,togezelenskyy,4
stamp,4,covering,4,bedroom,4
monument,4,fulling,4,speaktime,4
worshiping,4,chahaha,4,personukraine,4
ukrapatch,4,cease,4,roundtableputting,4
journalmean,4,stupidfied,4,changing,4
planeone,4,banker,4,junior,4
leaderextended,4,poorer,4,vasquez,4
election,4,yearning,4,classic,4
comingpro,4,watching,4,callukraine,4
taknow,4,al,4,ukrainejohnson,4
excitement,4,coincidental,4,worldtime,4
summer,4,date,4,favouritetime,4
johnsonmany,4,june,4,thjohnson,4
4ask,4,lord,4,zelenskyyleftistvegan,4
pounded,4,geidt,4,dressupsseen,4
bearpatch,4,resigns,4,returnjohnson,4
zmany,4,7odds,4,exportvolodymyr,4
enjoyalbo,4,forgotten,4,continuing,4
sanitiser,4,zelenskygoing,4,doorvolodymyr,4
shaking,4,zelenskyjohnson,4,moneyrussian,4
zelenskys,4,dateodds,4,yetputting,4
equivalent,4,desperate,4,zelenskyyrt,4
viagraitalian,4,billioodds,4,huffpostwomen,4
adamant,4,create,4,ki22,4
ukrainek,4,occurleader,4,zelenskyysunriseon7,4
sauna,4,declared,4,mastersofspin,4
discussing,4,clockwork,4,breakdown,4
sweatukraine,4,helping,4,caseen,4
journalmoreneta,4,dategoing,4,aftaccount,4
empire,4,happen,4,learnaccording,4
zeukraine,4,hundred,4,oleksiy,4
kangaroonever,4,skin,4,arestovych,4
2014many,4,awful,4,60,4
hillheard,4,posting,4,concentrateputting,4
maybecctv,4,avivodds,4,exportworld,4
promote,4,patheticodds,4,returnchildlish,4
robust,4,announce,4,saychildlish,4
greener,4,johnsonout162,4,zelenskyzelenskyy,4
healthier,4,zelenskyeven,4,zelenskyyunderstand,4
development,4,visa,4,transliterationprime,4
libero,4,acting,4,27922,4
quotidianopatch,4,dodge,4,expthink,4
kangarooreal,4,paranoia,4,tanya,4
kangaroobetter,4,bottom,4,plibersek,4
zelenskyneed,4,protecttricky,4,exporttie,4
crystal,4,widespread,4,besides,4
shoreunited,4,throughout,4,ageknow,4
enjoyaustralian,4,zelenskysuck,4,worldthought,4
forceheard,4,sorostricky,4,victorianulandgoodall,4
emmahope,4,forgottenaustralian,4,german,4
meat,4,emblem,4,hardware,4
grinder,4,worn,4,listing,4
enjoygo,4,stance,4,ukraine45,4
partyputin,4,ukzelensky,4,45,4
kangarooget,4,killer,4,adding,4
factstrong,4,nzelensky,4,lieknow,4
hint,4,known,4,ukraineieworld,4
retreating,4,commission,4,sight,4
crisis,4,arestovich,4,province,4
actorpatch,4,congratulated,4,prseen,4
toward,4,politicianeven,4,babyputin,4
lecarl,4,1991,4,root,4
cuddly,4,internationally,4,suffering,4
warm,4,recognized,4,hero,4
alsoaustralian,4,borderzelensky,4,triumphanputting,4
weaponzelensky,4,wallswedish,4,anderssonukraine,4
bought,4,unkadyrov,4,ukraday,4
cputin,4,channel50,4,sympathizer,4
kangaroolovegrove,4,revenue,4,itemised,4
admits,4,hotel,4,spending,4
primarilyes,4,yea,4,receipt,4
volodymr,4,suturning,4,100mguy,4
version,4,zelenukraine,4,abstinence,4
visitor,4,helpkeep,4,education,4
kangaroosnob,4,powder,4,abseen,4
denazifiction,4,kerry,4,rusalbo,4
palestinimany,4,unemployment,4,startsomething,4
enjoydebunked,4,linebald,4,harder,4
concentratiohope,4,sore,4,rightukrainian,4
applied,4,loser,4,moneyputting,4
eheard,4,whale,4,exportalbo,4
bannervincent83,4,fat,4,yet22,4
began,4,consistent,4,exportturkey,4
absuggesting,4,trukrainian,4,expbank,4
lysypatch,4,lunatictoday,4,ending,4
viapls,4,organrussia,4,sends,4
comepatch,4,thchechnya,4,worldturkey,4
stopputin,4,httpweek,4,moneygave,4
armyukrainian,4,vwatch,4,codex,4
nwow,4,auspolheadline,4,gigazelenskyy,4
soldheard,4,todmadness,4,welfare,4
emmacrack,4,presideexpect,4,queen,4
820,4,r4toswedish,4,expjoint,4
milligot,4,absocait,4,trippingknow,4
treasury,4,related,4,worldnew,4
bannercovid,4,tragedyzelensky,4,m142,4
admission,4,overthrown,4,himars,4
soaring,4,changedswedish,4,mlrs,4
specially,4,jowatch,4,zaporozhye,4
allowed,4,auspolswedish,4,direction,4
lgbt,4,julyturning,4,website22,4
paradeload,4,volodymyswedish,4,worldseen,4
rubbish,4,bill,4,ruscrux,4
thinkrt,4,amountswedish,4,say22,4
nbc6news,4,focuswould,4,export1936,4
bannmany,4,dance,4,deputy,4
fthink,4,competition,4,presseen,4
pemany,4,longest,4,askknow,4
sooexclusive,4,badly,4,telegrvolodymyr,4
collectible,4,kexpect,4,export22,4
giftshop,4,r4todayzelensky,4,moneyalways,4
usatoday,4,australiaheadline,4,delineated,4
quotereason,4,nshut,4,pointopen,4
install,4,agitating,4,portamp,4
zelenskykrudd,4,trazelensky,4,whistleblower,4
